Query ID,Shard ID,Query Type,Data Size (MB),Execution Time (s),CPU Usage (%),Memory Usage (MB),I/O Operations,Timestamp
Q344,Shard_4,JOIN,566,2.03,73,786,133,2025-03-01 10:58:21
Q345,Shard_3,UPDATE,413,1.13,63,606,112,2025-03-01 10:31:46
Q346,Shard_4,SELECT,152,1.9,52,518,98,2025-03-01 10:50:47
Q347,Shard_3,SELECT,256,0.79,64,555,46,2025-03-01 10:15:03
Q348,Shard_2,UPDATE,397,2.38,70,631,50,2025-03-01 10:09:01
Q349,Shard_1,JOIN,568,2.77,75,800,117,2025-03-01 10:25:13
Q350,Shard_3,SELECT,208,1.06,74,322,78,2025-03-01 10:39:54
Q351,Shard_5,SELECT,125,0.87,57,594,100,2025-03-01 10:45:07
Q352,Shard_3,UPDATE,179,2.01,75,515,123,2025-03-01 10:34:49
Q353,Shard_3,JOIN,514,2.92,90,826,101,2025-03-01 10:20:19
Q354,Shard_3,JOIN,329,2.7,93,950,195,2025-03-01 10:12:11
Q355,Shard_4,JOIN,507,2.79,83,708,162,2025-03-01 10:48:05
Q356,Shard_1,SELECT,161,0.75,61,415,48,2025-03-01 10:56:37
Q357,Shard_2,SELECT,268,1.46,68,365,51,2025-03-01 10:06:09
Q358,Shard_1,SELECT,267,0.91,53,467,80,2025-03-01 10:07:11
Q359,Shard_1,UPDATE,169,2.18,77,620,96,2025-03-01 10:05:36
Q360,Shard_1,JOIN,575,2.28,70,859,100,2025-03-01 10:46:14
Q361,Shard_3,UPDATE,346,1.85,62,678,68,2025-03-01 10:05:58
Q362,Shard_1,UPDATE,399,2.29,72,654,73,2025-03-01 10:37:37
Q363,Shard_1,SELECT,246,1.69,58,542,45,2025-03-01 10:32:49
Q364,Shard_5,JOIN,348,2.21,92,950,124,2025-03-01 10:06:57
Q365,Shard_4,JOIN,575,2.55,87,603,100,2025-03-01 10:51:45
Q366,Shard_1,UPDATE,165,2.24,85,440,66,2025-03-01 10:39:22
Q367,Shard_5,UPDATE,298,2.23,80,673,143,2025-03-01 10:40:31
Q368,Shard_4,JOIN,417,2.7,83,991,175,2025-03-01 10:45:52
Q369,Shard_3,JOIN,569,2.78,72,808,123,2025-03-01 10:44:23
Q370,Shard_3,JOIN,410,2.39,92,698,163,2025-03-01 10:15:23
Q371,Shard_1,SELECT,253,0.87,78,430,68,2025-03-01 10:47:52
Q372,Shard_5,SELECT,245,1.61,80,338,41,2025-03-01 10:16:55
Q373,Shard_1,JOIN,337,2.78,78,875,177,2025-03-01 10:55:05
Q374,Shard_1,UPDATE,473,2.5,73,430,70,2025-03-01 10:36:16
Q375,Shard_4,JOIN,534,2.99,79,977,185,2025-03-01 10:16:54
Q376,Shard_5,UPDATE,168,2.09,66,687,88,2025-03-01 10:49:31
Q377,Shard_5,UPDATE,338,1.99,80,571,60,2025-03-01 10:20:34
Q378,Shard_4,UPDATE,372,1.18,78,641,98,2025-03-01 10:47:03
Q379,Shard_2,JOIN,533,2.25,74,754,109,2025-03-01 10:39:14
Q380,Shard_5,SELECT,188,1.63,73,554,69,2025-03-01 10:30:43
Q381,Shard_5,UPDATE,457,1.22,78,767,69,2025-03-01 10:17:19
Q382,Shard_4,JOIN,563,2.23,82,858,181,2025-03-01 10:46:25
Q383,Shard_5,SELECT,171,1.09,64,392,90,2025-03-01 10:18:00
Q384,Shard_2,UPDATE,373,1.98,78,466,60,2025-03-01 10:06:42
Q385,Shard_5,SELECT,268,1.97,58,344,73,2025-03-01 10:41:56
Q386,Shard_5,JOIN,518,2.41,71,803,162,2025-03-01 10:30:07
Q387,Shard_4,UPDATE,295,1.69,71,679,94,2025-03-01 10:21:43
Q388,Shard_5,JOIN,549,2.74,79,805,101,2025-03-01 10:36:55
Q389,Shard_3,SELECT,157,1.05,69,400,42,2025-03-01 10:09:48
Q390,Shard_2,JOIN,372,2.97,73,989,146,2025-03-01 10:45:01
Q391,Shard_3,UPDATE,432,2.07,70,592,120,2025-03-01 10:09:06
Q392,Shard_1,SELECT,199,1.94,73,445,85,2025-03-01 10:25:56
Q393,Shard_1,JOIN,530,2.39,90,656,194,2025-03-01 10:30:04
Q394,Shard_1,JOIN,334,2.71,71,713,133,2025-03-01 10:37:37
Q395,Shard_1,SELECT,277,1.85,78,599,99,2025-03-01 10:58:31
Q396,Shard_4,SELECT,222,1.04,74,423,63,2025-03-01 10:05:25
Q397,Shard_2,JOIN,562,2.88,75,665,181,2025-03-01 10:36:45
Q398,Shard_4,JOIN,388,2.3,89,617,170,2025-03-01 10:38:43
Q399,Shard_3,JOIN,442,2.32,71,628,184,2025-03-01 10:38:00
Q400,Shard_1,SELECT,246,1.75,67,555,45,2025-03-01 10:24:51
Q401,Shard_2,UPDATE,317,2.3,76,666,121,2025-03-01 10:34:51
Q402,Shard_3,UPDATE,328,1.65,77,407,79,2025-03-01 10:51:50
Q403,Shard_4,SELECT,176,0.97,73,505,63,2025-03-01 10:16:40
Q404,Shard_5,UPDATE,285,2.21,69,544,91,2025-03-01 10:38:42
Q405,Shard_2,JOIN,364,2.15,73,818,131,2025-03-01 10:22:32
Q406,Shard_2,UPDATE,307,1.95,60,413,60,2025-03-01 10:05:28
Q407,Shard_2,JOIN,542,2.73,92,758,133,2025-03-01 10:19:57
Q408,Shard_2,JOIN,516,2.78,72,763,196,2025-03-01 10:31:02
Q409,Shard_1,JOIN,593,2.25,88,889,154,2025-03-01 10:17:49
Q410,Shard_3,SELECT,208,1.67,73,469,99,2025-03-01 10:24:33
Q411,Shard_1,SELECT,219,0.86,53,522,79,2025-03-01 10:13:46
Q412,Shard_4,JOIN,345,2.59,90,914,162,2025-03-01 10:11:32
Q413,Shard_4,UPDATE,276,2.44,80,621,100,2025-03-01 10:33:12
Q414,Shard_4,JOIN,532,2.88,84,866,199,2025-03-01 10:41:32
Q415,Shard_3,UPDATE,285,1.99,69,562,110,2025-03-01 10:09:36
Q416,Shard_2,SELECT,164,1.87,80,478,93,2025-03-01 10:11:26
Q417,Shard_5,UPDATE,448,1.13,74,462,62,2025-03-01 10:46:32
Q418,Shard_5,SELECT,178,1.07,80,433,65,2025-03-01 10:06:54
Q419,Shard_1,UPDATE,154,1.75,70,491,109,2025-03-01 10:49:45
Q420,Shard_1,SELECT,160,1.48,77,496,78,2025-03-01 10:12:08
Q421,Shard_4,SELECT,292,0.54,69,532,94,2025-03-01 10:30:25
Q422,Shard_2,JOIN,501,2.97,88,926,189,2025-03-01 10:42:25
Q423,Shard_1,UPDATE,425,1.51,70,709,120,2025-03-01 10:29:34
Q424,Shard_1,UPDATE,280,1.94,66,441,120,2025-03-01 10:24:41
Q425,Shard_5,SELECT,139,1.09,59,371,85,2025-03-01 10:36:43
Q426,Shard_1,JOIN,559,2.22,70,886,179,2025-03-01 10:54:27
Q427,Shard_1,JOIN,481,2.27,76,714,132,2025-03-01 10:23:18
Q428,Shard_4,JOIN,527,2.7,70,601,160,2025-03-01 10:14:52
Q429,Shard_1,JOIN,306,2.58,88,839,147,2025-03-01 10:47:56
Q430,Shard_4,JOIN,576,2.96,94,945,121,2025-03-01 10:50:50
Q431,Shard_5,UPDATE,327,2.43,66,766,108,2025-03-01 10:09:40
Q432,Shard_1,UPDATE,368,1.88,76,790,94,2025-03-01 10:54:33
Q433,Shard_2,UPDATE,376,2.0,60,426,135,2025-03-01 10:33:55
Q434,Shard_2,UPDATE,369,1.41,62,496,58,2025-03-01 10:30:13
Q435,Shard_2,SELECT,151,1.73,66,553,100,2025-03-01 10:46:34
Q436,Shard_4,JOIN,502,2.59,79,909,195,2025-03-01 10:28:43
Q437,Shard_2,UPDATE,429,1.44,80,684,132,2025-03-01 10:46:12
Q438,Shard_3,JOIN,580,2.07,85,809,164,2025-03-01 10:46:05
Q439,Shard_2,JOIN,543,2.08,82,684,157,2025-03-01 10:11:40
Q440,Shard_5,UPDATE,260,1.19,64,680,123,2025-03-01 10:48:36
Q441,Shard_1,UPDATE,274,2.15,69,724,138,2025-03-01 10:40:46
Q442,Shard_5,UPDATE,451,1.47,82,685,99,2025-03-01 10:35:17
Q443,Shard_2,SELECT,270,0.75,65,438,46,2025-03-01 10:29:35
Q444,Shard_3,SELECT,232,1.58,64,349,52,2025-03-01 10:35:02
Q445,Shard_1,UPDATE,410,2.19,62,583,86,2025-03-01 10:59:40
Q446,Shard_1,UPDATE,270,2.31,66,657,77,2025-03-01 10:57:27
Q447,Shard_1,UPDATE,440,2.42,76,751,112,2025-03-01 10:25:37
Q448,Shard_2,SELECT,173,1.19,61,519,48,2025-03-01 10:14:51
Q449,Shard_2,JOIN,598,3.0,77,907,180,2025-03-01 10:28:54
Q450,Shard_5,SELECT,164,1.91,60,306,99,2025-03-01 10:07:59
Q451,Shard_5,SELECT,183,0.61,76,598,42,2025-03-01 10:18:30
Q452,Shard_3,UPDATE,213,1.35,83,667,97,2025-03-01 10:55:32
Q453,Shard_3,SELECT,265,1.92,64,350,43,2025-03-01 10:50:05
Q454,Shard_5,UPDATE,473,2.42,66,462,123,2025-03-01 10:42:18
Q455,Shard_1,UPDATE,467,1.61,61,800,126,2025-03-01 10:56:18
Q456,Shard_1,UPDATE,488,1.5,74,742,76,2025-03-01 10:44:29
Q457,Shard_5,SELECT,134,1.07,60,397,77,2025-03-01 10:43:50
Q458,Shard_4,UPDATE,362,1.66,60,461,136,2025-03-01 10:52:59
Q459,Shard_4,JOIN,544,2.61,89,831,193,2025-03-01 10:34:09
Q460,Shard_4,UPDATE,358,2.31,78,686,130,2025-03-01 10:15:34
Q461,Shard_1,SELECT,142,0.82,68,522,43,2025-03-01 10:58:14
Q462,Shard_3,JOIN,343,2.35,81,994,184,2025-03-01 10:46:49
Q463,Shard_5,JOIN,448,2.96,75,866,124,2025-03-01 10:57:41
Q464,Shard_4,SELECT,203,1.55,52,579,60,2025-03-01 10:06:39
Q465,Shard_3,UPDATE,224,1.54,60,477,78,2025-03-01 10:34:50
Q466,Shard_3,JOIN,319,2.1,82,914,150,2025-03-01 10:08:10
Q467,Shard_3,UPDATE,449,2.33,71,540,54,2025-03-01 10:54:11
Q468,Shard_5,SELECT,265,1.04,75,571,90,2025-03-01 10:16:32
Q469,Shard_5,JOIN,304,2.06,90,983,102,2025-03-01 10:56:02
Q470,Shard_1,SELECT,220,1.53,77,513,66,2025-03-01 10:59:08
Q471,Shard_5,UPDATE,283,1.06,85,572,85,2025-03-01 10:14:44
Q472,Shard_3,JOIN,390,2.93,92,858,138,2025-03-01 10:59:05
Q473,Shard_5,UPDATE,367,1.36,73,687,130,2025-03-01 10:43:03
Q474,Shard_3,UPDATE,245,1.51,80,561,125,2025-03-01 10:05:56
Q475,Shard_3,SELECT,154,0.76,52,323,69,2025-03-01 10:57:08
Q476,Shard_3,JOIN,421,2.77,88,955,168,2025-03-01 10:28:25
Q477,Shard_5,JOIN,408,2.2,74,795,122,2025-03-01 10:31:11
Q478,Shard_2,UPDATE,378,1.47,85,424,80,2025-03-01 10:10:32
Q479,Shard_4,UPDATE,288,2.43,83,785,110,2025-03-01 10:10:34
Q480,Shard_3,SELECT,139,1.7,60,388,61,2025-03-01 10:22:06
Q481,Shard_5,UPDATE,492,2.27,72,549,87,2025-03-01 10:11:39
Q482,Shard_4,JOIN,344,2.65,95,886,109,2025-03-01 10:53:00
Q483,Shard_2,UPDATE,327,1.67,78,715,50,2025-03-01 10:29:27
Q484,Shard_1,SELECT,189,0.6,59,336,76,2025-03-01 10:59:25
Q485,Shard_1,UPDATE,417,1.37,85,511,119,2025-03-01 10:39:12
Q486,Shard_4,SELECT,162,1.27,72,389,100,2025-03-01 10:08:05
Q487,Shard_4,UPDATE,247,1.7,65,596,109,2025-03-01 10:32:00
Q488,Shard_4,UPDATE,294,1.74,81,631,113,2025-03-01 10:21:10
Q489,Shard_5,SELECT,183,1.43,65,316,44,2025-03-01 10:24:52
Q490,Shard_1,SELECT,195,1.59,53,490,94,2025-03-01 10:58:46
Q491,Shard_2,UPDATE,228,1.55,74,514,61,2025-03-01 10:13:46
Q492,Shard_5,JOIN,476,2.87,94,828,145,2025-03-01 10:36:08
Q493,Shard_1,UPDATE,278,2.44,62,733,79,2025-03-01 10:31:41
Q494,Shard_2,JOIN,506,2.95,93,997,131,2025-03-01 10:05:20
Q495,Shard_3,JOIN,500,2.46,73,657,187,2025-03-01 10:18:41
Q496,Shard_5,JOIN,485,2.49,76,986,181,2025-03-01 10:45:25
Q497,Shard_2,SELECT,104,1.05,73,403,52,2025-03-01 10:44:10
Q498,Shard_3,SELECT,300,1.28,80,457,96,2025-03-01 10:32:07
Q499,Shard_4,SELECT,193,1.77,55,452,59,2025-03-01 10:59:01
Q500,Shard_4,UPDATE,181,2.4,60,685,65,2025-03-01 10:20:57
Q501,Shard_5,SELECT,299,1.11,54,329,67,2025-03-01 10:38:01
Q502,Shard_5,JOIN,489,2.44,71,822,181,2025-03-01 10:54:51
Q503,Shard_5,JOIN,455,2.77,85,876,136,2025-03-01 10:31:31
Q504,Shard_5,JOIN,534,2.27,74,902,175,2025-03-01 10:51:36
Q505,Shard_4,UPDATE,305,1.41,85,708,58,2025-03-01 10:48:45
Q506,Shard_4,SELECT,221,1.33,67,488,77,2025-03-01 10:41:46
Q507,Shard_1,UPDATE,228,1.42,71,437,54,2025-03-01 10:48:40
Q508,Shard_2,UPDATE,346,1.19,81,794,134,2025-03-01 10:39:43
Q509,Shard_5,UPDATE,294,1.85,77,556,128,2025-03-01 10:58:06
Q510,Shard_1,JOIN,419,2.65,93,744,103,2025-03-01 10:29:36
Q511,Shard_3,SELECT,207,0.74,50,547,64,2025-03-01 10:56:27
Q512,Shard_3,UPDATE,367,2.46,84,407,134,2025-03-01 10:59:01
Q513,Shard_3,UPDATE,281,1.74,65,720,124,2025-03-01 10:26:26
Q514,Shard_4,UPDATE,319,1.08,73,621,115,2025-03-01 10:07:47
Q515,Shard_4,SELECT,162,1.99,52,383,71,2025-03-01 10:49:52
Q516,Shard_2,SELECT,113,0.56,76,423,56,2025-03-01 10:17:40
Q517,Shard_2,JOIN,387,2.79,81,715,137,2025-03-01 10:23:28
Q518,Shard_4,SELECT,252,1.27,59,364,93,2025-03-01 10:06:36
Q519,Shard_5,JOIN,365,2.22,80,854,129,2025-03-01 10:27:42
Q520,Shard_5,UPDATE,164,1.0,60,746,106,2025-03-01 10:07:52
Q521,Shard_4,JOIN,531,2.39,74,945,138,2025-03-01 10:58:51
Q522,Shard_5,SELECT,259,0.51,59,437,62,2025-03-01 10:42:07
Q523,Shard_2,SELECT,232,1.81,80,345,98,2025-03-01 10:10:02
Q524,Shard_5,JOIN,359,2.72,90,638,161,2025-03-01 10:23:29
Q525,Shard_2,UPDATE,453,1.07,74,442,58,2025-03-01 10:59:54
Q526,Shard_3,SELECT,126,0.54,79,524,92,2025-03-01 10:18:45
Q527,Shard_1,JOIN,435,2.45,81,618,158,2025-03-01 10:37:16
Q528,Shard_4,SELECT,130,0.65,57,394,71,2025-03-01 10:53:53
Q529,Shard_5,SELECT,255,1.0,74,558,50,2025-03-01 10:18:23
Q530,Shard_4,UPDATE,211,1.33,79,740,103,2025-03-01 10:58:44
Q531,Shard_4,SELECT,109,1.44,50,530,71,2025-03-01 10:26:25
Q532,Shard_5,SELECT,190,0.97,66,496,66,2025-03-01 10:44:13
Q533,Shard_3,UPDATE,493,2.5,64,478,104,2025-03-01 10:05:49
Q534,Shard_2,SELECT,135,1.74,70,525,54,2025-03-01 10:17:19
Q535,Shard_2,SELECT,281,0.95,65,416,76,2025-03-01 10:27:05
Q536,Shard_5,UPDATE,234,1.04,60,722,138,2025-03-01 10:50:39
Q537,Shard_3,JOIN,367,2.63,79,925,131,2025-03-01 10:13:59
Q538,Shard_1,SELECT,297,0.61,73,407,94,2025-03-01 10:25:46
Q539,Shard_3,UPDATE,218,2.19,68,490,91,2025-03-01 10:25:48
Q540,Shard_1,JOIN,522,2.31,85,988,198,2025-03-01 10:05:35
Q541,Shard_2,UPDATE,447,1.82,67,633,118,2025-03-01 10:10:04
Q542,Shard_5,SELECT,228,0.6,50,387,68,2025-03-01 10:15:38
Q543,Shard_2,JOIN,452,2.7,88,914,137,2025-03-01 10:24:15
Q544,Shard_4,JOIN,343,2.81,93,886,195,2025-03-01 10:33:39
Q545,Shard_1,SELECT,201,1.37,70,588,40,2025-03-01 10:28:02
Q546,Shard_1,JOIN,575,2.97,80,663,100,2025-03-01 10:46:46
Q547,Shard_4,SELECT,166,1.87,79,522,80,2025-03-01 10:39:05
Q548,Shard_4,JOIN,479,2.51,78,899,100,2025-03-01 10:27:27
Q549,Shard_4,SELECT,152,0.95,60,339,80,2025-03-01 10:56:00
Q550,Shard_3,UPDATE,360,1.52,80,505,137,2025-03-01 10:59:40
Q551,Shard_5,UPDATE,255,1.72,68,479,63,2025-03-01 10:59:54
Q552,Shard_2,JOIN,563,2.39,83,632,143,2025-03-01 10:54:29
Q553,Shard_1,UPDATE,204,2.43,69,726,73,2025-03-01 10:49:03
Q554,Shard_2,SELECT,286,1.62,73,345,72,2025-03-01 10:05:35
Q555,Shard_4,JOIN,587,2.67,84,742,139,2025-03-01 10:34:57
Q556,Shard_2,UPDATE,439,1.49,79,522,101,2025-03-01 10:11:04
Q557,Shard_3,JOIN,461,2.86,83,701,159,2025-03-01 10:58:44
Q558,Shard_5,SELECT,288,0.55,53,554,89,2025-03-01 10:41:07
Q559,Shard_4,UPDATE,251,1.27,61,409,93,2025-03-01 10:41:28
Q560,Shard_1,SELECT,175,0.67,65,541,80,2025-03-01 10:55:18
Q561,Shard_4,JOIN,529,2.47,88,651,149,2025-03-01 10:42:33
Q562,Shard_1,JOIN,548,2.3,70,633,112,2025-03-01 10:51:14
Q563,Shard_4,UPDATE,300,1.71,63,593,139,2025-03-01 10:35:07
Q564,Shard_4,JOIN,393,2.05,86,740,178,2025-03-01 10:15:23
Q565,Shard_4,UPDATE,437,1.35,85,545,114,2025-03-01 10:48:04
Q566,Shard_5,JOIN,484,2.09,85,707,144,2025-03-01 10:50:04
Q567,Shard_5,JOIN,321,2.69,82,840,162,2025-03-01 10:46:45
Q568,Shard_4,SELECT,123,0.9,61,481,71,2025-03-01 10:43:46
Q569,Shard_2,SELECT,285,1.09,50,348,66,2025-03-01 10:51:30
Q570,Shard_2,SELECT,145,1.46,73,462,77,2025-03-01 10:38:07
Q571,Shard_2,JOIN,494,2.65,80,950,157,2025-03-01 10:16:14
Q572,Shard_1,SELECT,132,0.7,80,457,64,2025-03-01 10:41:07
Q573,Shard_4,JOIN,507,2.58,70,654,180,2025-03-01 10:44:43
Q574,Shard_4,SELECT,258,1.58,50,531,86,2025-03-01 10:50:51
Q575,Shard_3,UPDATE,477,1.42,67,688,84,2025-03-01 10:22:39
Q576,Shard_5,SELECT,259,0.69,67,365,46,2025-03-01 10:30:23
Q577,Shard_3,UPDATE,478,1.28,64,645,76,2025-03-01 10:41:01
Q578,Shard_1,UPDATE,300,2.06,78,649,103,2025-03-01 10:24:57
Q579,Shard_3,SELECT,250,1.93,65,365,89,2025-03-01 10:34:02
Q580,Shard_4,JOIN,420,2.92,95,636,193,2025-03-01 10:59:59
Q581,Shard_4,SELECT,129,0.64,62,317,63,2025-03-01 10:42:53
Q582,Shard_1,SELECT,176,0.85,78,532,98,2025-03-01 10:29:20
Q583,Shard_4,UPDATE,484,1.58,78,609,86,2025-03-01 10:39:42
Q584,Shard_1,UPDATE,273,1.78,63,508,54,2025-03-01 10:50:11
Q585,Shard_1,SELECT,282,1.01,68,461,85,2025-03-01 10:21:28
Q586,Shard_5,JOIN,577,2.74,85,804,123,2025-03-01 10:21:29
Q587,Shard_4,UPDATE,190,1.14,62,443,71,2025-03-01 10:56:54
Q588,Shard_2,UPDATE,480,2.06,73,551,141,2025-03-01 10:41:38
Q589,Shard_2,JOIN,452,2.51,88,735,126,2025-03-01 10:41:13
Q590,Shard_1,UPDATE,194,2.02,84,720,125,2025-03-01 10:29:05
Q591,Shard_4,JOIN,452,2.99,73,835,108,2025-03-01 10:35:34
Q592,Shard_2,SELECT,100,0.91,78,522,88,2025-03-01 10:40:21
Q593,Shard_3,SELECT,287,0.6,79,495,46,2025-03-01 10:50:05
Q594,Shard_5,UPDATE,279,1.99,72,752,126,2025-03-01 10:10:25
Q595,Shard_2,SELECT,200,1.8,74,486,49,2025-03-01 10:36:49
Q596,Shard_3,JOIN,479,2.88,78,962,119,2025-03-01 10:26:11
Q597,Shard_4,SELECT,212,1.54,56,435,75,2025-03-01 10:09:58
Q598,Shard_5,JOIN,410,2.01,84,814,100,2025-03-01 10:32:21
Q599,Shard_1,UPDATE,337,1.18,73,715,87,2025-03-01 10:28:47
Q600,Shard_4,UPDATE,411,2.01,81,668,78,2025-03-01 10:17:13
Q601,Shard_1,JOIN,416,2.52,77,835,149,2025-03-01 10:47:41
Q602,Shard_2,SELECT,248,1.33,63,400,42,2025-03-01 10:39:35
Q603,Shard_5,SELECT,252,1.21,65,464,77,2025-03-01 10:08:00
Q604,Shard_3,JOIN,595,2.24,73,793,155,2025-03-01 10:24:30
Q605,Shard_3,UPDATE,414,2.21,69,766,116,2025-03-01 10:12:29
Q606,Shard_4,JOIN,305,2.74,77,911,182,2025-03-01 10:59:17
Q607,Shard_4,JOIN,512,2.49,93,738,107,2025-03-01 10:27:29
Q608,Shard_4,UPDATE,249,1.63,64,474,87,2025-03-01 10:46:34
Q609,Shard_5,JOIN,483,2.32,92,722,192,2025-03-01 10:33:02
Q610,Shard_1,JOIN,341,2.27,83,914,197,2025-03-01 10:23:38
Q611,Shard_1,UPDATE,276,1.32,75,426,141,2025-03-01 10:27:01
Q612,Shard_5,SELECT,240,1.5,66,371,48,2025-03-01 10:44:49
Q613,Shard_1,SELECT,155,1.15,70,597,57,2025-03-01 10:05:08
Q614,Shard_3,SELECT,200,0.88,55,503,73,2025-03-01 10:53:34
Q615,Shard_5,UPDATE,222,1.33,77,688,82,2025-03-01 10:45:55
Q616,Shard_2,UPDATE,454,2.31,75,747,99,2025-03-01 10:51:33
Q617,Shard_4,JOIN,326,2.36,81,799,116,2025-03-01 10:47:04
Q618,Shard_4,UPDATE,352,1.3,68,539,142,2025-03-01 10:38:07
Q619,Shard_4,SELECT,249,1.25,68,575,63,2025-03-01 10:16:28
Q620,Shard_5,SELECT,153,1.39,66,440,98,2025-03-01 10:13:43
Q621,Shard_5,UPDATE,194,1.77,74,443,67,2025-03-01 10:32:29
Q622,Shard_2,JOIN,512,2.14,77,886,199,2025-03-01 10:27:18
Q623,Shard_2,JOIN,321,2.57,74,720,182,2025-03-01 10:28:25
Q624,Shard_5,UPDATE,469,1.03,85,402,67,2025-03-01 10:50:45
Q625,Shard_1,UPDATE,159,1.04,85,654,95,2025-03-01 10:47:02
Q626,Shard_4,UPDATE,427,2.44,60,640,115,2025-03-01 10:30:30
Q627,Shard_5,SELECT,218,0.83,55,358,56,2025-03-01 10:14:47
Q628,Shard_4,UPDATE,205,1.51,61,415,116,2025-03-01 10:30:47
Q629,Shard_4,SELECT,173,0.91,63,409,92,2025-03-01 10:39:21
Q630,Shard_5,UPDATE,283,1.84,74,485,50,2025-03-01 10:43:30
Q631,Shard_1,JOIN,489,2.54,74,901,112,2025-03-01 10:39:46
Q632,Shard_1,UPDATE,240,1.09,69,658,81,2025-03-01 10:48:28
Q633,Shard_4,SELECT,204,0.57,62,356,40,2025-03-01 10:51:00
Q634,Shard_4,SELECT,104,0.89,79,410,64,2025-03-01 10:29:31
Q635,Shard_3,JOIN,344,2.54,81,915,170,2025-03-01 10:11:00
Q636,Shard_2,JOIN,593,2.26,85,811,129,2025-03-01 10:37:20
Q637,Shard_2,JOIN,314,2.23,91,685,125,2025-03-01 10:21:44
Q638,Shard_3,SELECT,122,1.52,56,321,74,2025-03-01 10:26:19
Q639,Shard_5,UPDATE,174,1.4,71,457,125,2025-03-01 10:44:29
Q640,Shard_1,SELECT,200,1.9,63,569,48,2025-03-01 10:26:32
Q641,Shard_4,UPDATE,469,2.23,76,643,133,2025-03-01 10:49:55
Q642,Shard_3,SELECT,110,1.73,71,311,89,2025-03-01 10:12:22
Q643,Shard_1,UPDATE,355,2.27,63,689,142,2025-03-01 10:32:16
Q644,Shard_5,JOIN,407,2.69,78,929,147,2025-03-01 10:08:01
Q645,Shard_1,SELECT,253,1.54,71,471,76,2025-03-01 10:13:39
Q646,Shard_4,JOIN,476,2.84,82,738,152,2025-03-01 10:58:50
Q647,Shard_3,UPDATE,410,1.72,68,647,63,2025-03-01 10:35:29
Q648,Shard_2,UPDATE,453,2.15,85,721,58,2025-03-01 10:26:27
Q649,Shard_1,SELECT,271,0.94,52,585,86,2025-03-01 10:45:10
Q650,Shard_4,UPDATE,481,1.12,72,480,81,2025-03-01 10:43:32
Q651,Shard_1,JOIN,371,2.99,91,826,156,2025-03-01 10:46:53
Q652,Shard_1,SELECT,151,0.77,80,585,81,2025-03-01 10:18:39
Q653,Shard_2,UPDATE,300,2.35,79,618,73,2025-03-01 10:35:59
Q654,Shard_2,UPDATE,188,2.03,79,780,80,2025-03-01 10:18:13
Q655,Shard_3,UPDATE,226,1.54,72,700,135,2025-03-01 10:54:02
Q656,Shard_1,UPDATE,478,1.65,68,694,114,2025-03-01 10:09:07
Q657,Shard_4,UPDATE,386,1.56,79,641,62,2025-03-01 10:25:54
Q658,Shard_2,SELECT,231,0.59,76,439,91,2025-03-01 10:14:27
Q659,Shard_4,JOIN,590,2.54,75,649,173,2025-03-01 10:21:51
Q660,Shard_2,JOIN,311,2.86,79,783,151,2025-03-01 10:45:16
Q661,Shard_5,SELECT,210,1.47,55,564,74,2025-03-01 10:33:31
Q662,Shard_2,UPDATE,165,1.08,80,676,86,2025-03-01 10:34:28
Q663,Shard_4,SELECT,291,0.59,77,439,59,2025-03-01 10:55:11
Q664,Shard_2,SELECT,208,1.01,68,351,79,2025-03-01 10:52:33
Q665,Shard_5,JOIN,306,2.24,88,922,153,2025-03-01 10:44:34
Q666,Shard_5,UPDATE,271,1.17,71,529,90,2025-03-01 10:43:09
Q667,Shard_2,SELECT,299,1.43,65,400,65,2025-03-01 10:12:49
Q668,Shard_5,UPDATE,336,2.28,61,472,55,2025-03-01 10:22:00
Q669,Shard_4,JOIN,451,2.85,82,879,185,2025-03-01 10:50:59
Q670,Shard_3,JOIN,415,2.06,83,940,188,2025-03-01 10:15:39
Q671,Shard_2,UPDATE,268,1.54,63,488,120,2025-03-01 10:14:09
Q672,Shard_5,UPDATE,342,1.04,84,532,56,2025-03-01 10:47:20
Q673,Shard_5,UPDATE,288,1.67,85,456,88,2025-03-01 10:18:02
Q674,Shard_2,UPDATE,159,1.85,78,564,135,2025-03-01 10:49:01
Q675,Shard_5,JOIN,532,2.41,71,605,116,2025-03-01 10:07:18
Q676,Shard_5,UPDATE,370,1.01,77,601,95,2025-03-01 10:13:52
Q677,Shard_2,JOIN,552,2.39,95,832,182,2025-03-01 10:45:27
Q678,Shard_5,SELECT,113,0.97,63,358,74,2025-03-01 10:52:13
Q679,Shard_4,SELECT,224,1.89,68,394,77,2025-03-01 10:36:46
Q680,Shard_4,UPDATE,292,1.6,81,654,110,2025-03-01 10:05:18
Q681,Shard_1,UPDATE,471,2.1,63,611,71,2025-03-01 10:47:18
Q682,Shard_3,SELECT,242,0.51,65,551,91,2025-03-01 10:06:18
Q683,Shard_3,SELECT,101,0.97,71,401,49,2025-03-01 10:40:23
Q684,Shard_3,UPDATE,396,1.27,75,593,70,2025-03-01 10:43:23
Q685,Shard_2,UPDATE,469,1.11,65,405,73,2025-03-01 10:59:45
Q686,Shard_5,JOIN,586,2.82,87,677,161,2025-03-01 10:54:55
Q687,Shard_2,JOIN,539,2.57,93,944,151,2025-03-01 10:29:46
Q688,Shard_2,UPDATE,153,1.3,66,488,148,2025-03-01 10:31:55
